<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,110160,110160,110140,110160
18/09/18,110170,110180,110170,110180
18/09/18,110150,110150,110130,110130
18/09/18,110130,110140,110110,110140
18/09/18,110140,110190,110120,110160
18/09/18,110170,110220,110170,110180
18/09/18,110190,110200,110190,110190
18/09/18,110200,110250,110200,110240
18/09/18,110210,110250,110190,110250
18/09/18,110250,110250,110250,110250
18/09/18,110240,110240,110240,110240
18/09/18,110250,110280,110240,110270
18/09/18,110250,110290,110250,110250
18/09/18,110280,110280,110280,110280
18/09/18,110270,110290,110270,110290
18/09/18,110270,110300,110270,110270
18/09/18,110260,110260,110250,110250
18/09/18,110250,110280,110230,110230
18/09/18,110240,110240,110240,110240
18/09/18,110270,110290,110260,110260
18/09/18,110300,110320,110300,110300
18/09/18,110300,110320,110270,110270
18/09/18,110300,110350,110300,110350
18/09/18,110350,110350,110310,110310
18/09/18,110310,110350,110310,110330
18/09/18,110340,110340,110340,110340
18/09/18,110340,110340,110340,110340
18/09/18,110350,110350,110330,110350
18/09/18,110350,110350,110350,110350
18/09/18,110350,110350,110330,110330
18/09/18,110340,110340,110320,110320
18/09/18,110330,110350,110320,110330
18/09/18,110360,110360,110360,110360
18/09/18,110360,110360,110350,110350
18/09/18,110330,110330,110330,110330
18/09/18,110360,110360,110360,110360
18/09/18,110360,110370,110340,110340
18/09/18,110370,110370,110370,110370
18/09/18,110370,110400,110360,110400
18/09/18,110370,110370,110370,110370
18/09/18,110390,110390,110390,110390
18/09/18,110390,110390,110390,110390
18/09/18,110370,110390,110370,110390
18/09/18,110390,110410,110390,110400
18/09/18,110370,110370,110370,110370
18/09/18,110370,110370,110370,110370
18/09/18,110350,110350,110350,110350
18/09/18,110360,110370,110330,110340
18/09/18,110340,110340,110330,110330
18/09/18,110330,110330,110330,110330
18/09/18,110360,110370,110360,110360
18/09/18,110370,110390,110360,110380
18/09/18,110380,110380,110370,110370
18/09/18,110360,110370,110350,110370
18/09/18,110370,110370,110370,110370
18/09/18,110350,110350,110340,110340
18/09/18,110350,110350,110350,110350
18/09/18,110330,110330,110330,110330
18/09/18,110350,110360,110340,110350
18/09/18,110340,110340,110310,110330
18/09/18,110320,110320,110310,110310
18/09/18,110310,110320,110290,110300
18/09/18,110320,110320,110290,110290
18/09/18,110300,110310,110290,110290
18/09/18,110320,110320,110310,110310
18/09/18,110320,110320,110290,110290
18/09/18,110290,110290,110290,110290
18/09/18,110300,110300,110270,110270
18/09/18,110280,110300,110280,110280
18/09/18,110290,110290,110260,110290
18/09/18,110290,110290,110260,110290
18/09/18,110260,110260,110260,110260
18/09/18,110260,110260,110260,110260
18/09/18,110250,110250,110230,110240
18/09/18,110270,110280,110240,110240
18/09/18,110280,110280,110060,110210
18/09/18,110230,110250,110220,110250
18/09/18,110260,110260,110230,110230
18/09/18,110230,110240,110210,110210
18/09/18,110270,110270,110220,110220
18/09/18,110250,110250,110240,110240
18/09/18,110270,110270,110270,110270
18/09/18,110280,110280,110240,110240
18/09/18,110240,110260,110210,110260
18/09/18,110260,110270,110240,110250
18/09/18,110220,110250,110060,110240
18/09/18,110240,110260,110240,110240
18/09/18,110240,110300,110240,110300
18/09/18,110300,110300,110290,110300
18/09/18,110300,110320,110260,110300
18/09/18,110310,110310,110280,110310
18/09/18,110310,110310,110280,110280
18/09/18,110290,110300,110290,110300
18/09/18,110290,110330,110290,110310
18/09/18,110310,110320,110280,110280
18/09/18,110310,110310,110310,110310
18/09/18,110270,110290,110260,110290
18/09/18,110300,110310,110300,110300
18/09/18,110270,110290,110240,110250
18/09/18,110230,110240,110200,110230
18/09/18,110200,110280,110200,110210
18/09/18,110260,110260,110250,110250
18/09/18,110280,110280,110240,110240
18/09/18,110240,110260,110240,110260
18/09/18,110220,110240,110180,110180
18/09/18,110170,110210,110160,110180
18/09/18,110220,110220,110190,110190
18/09/18,110230,110240,110230,110230
18/09/18,110240,110260,110210,110210
18/09/18,110210,110210,110210,110210
18/09/18,110210,110210,110210,110210
18/09/18,110230,110230,110230,110230
18/09/18,110230,110230,110230,110230
18/09/18,110210,110210,110190,110190
18/09/18,110240,110260,110200,110200
18/09/18,110200,110220,110150,110210
18/09/18,110200,110240,110200,110220
18/09/18,110240,110300,110240,110280
18/09/18,110250,110260,110200,110210
18/09/18,110240,110300,110240,110300
18/09/18,110300,110310,110300,110310
18/09/18,110320,110360,110290,110290
18/09/18,110340,110340,110340,110340
18/09/18,110330,110330,110330,110330
18/09/18,110320,110320,110320,110320
18/09/18,110340,110420,110340,110410
18/09/18,110400,110400,110400,110400
18/09/18,110410,110410,110390,110390
18/09/18,110400,110420,110380,110380
18/09/18,110380,110380,110340,110340
18/09/18,110370,110380,110370,110380
18/09/18,110360,110360,110350,110350
18/09/18,110340,110340,110330,110330
18/09/18,110350,110360,110340,110340
18/09/18,110350,110390,110350,110350
18/09/18,110370,110370,110340,110340
18/09/18,110330,110330,110320,110320
18/09/18,110320,110350,110320,110350
18/09/18,110350,110350,110310,110310
18/09/18,110340,110350,110310,110310
18/09/18,110340,110340,110310,110310
18/09/18,110300,110310,110300,110310
18/09/18,110310,110310,110310,110310
18/09/18,110350,110380,110320,110320
18/09/18,110350,110360,110350,110360
18/09/18,110340,110400,110340,110400
18/09/18,110390,110400,110290,110340
18/09/18,110250,110300,110240,110300
18/09/18,110260,110260,110240,110240
18/09/18,110250,110250,110250,110250
